State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI
Alabama,Baldwin,2014,280,232,46,2,0,0,0,112,38
Alabama,Clay,2014,114,96,18,0,0,0,0,70,36
Alabama,Colbert,2014,284,251,33,0,0,0,0,87,37
Alabama,DeKalb,2014,360,313,47,0,0,0,0,90,38
Alabama,Elmore,2014,245,224,21,0,0,0,0,84,36
Alabama,Etowah,2014,281,244,37,0,0,0,0,97,38
Alabama,Houston,2014,279,241,38,0,0,0,0,80,38
Alabama,Jefferson,2014,365,159,200,6,0,0,0,112,53
Alabama,Lawrence,2014,104,92,12,0,0,0,0,83,27
Alabama,Madison,2014,338,281,57,0,0,0,0,97,39
Alabama,Mobile,2014,285,224,55,6,0,0,0,115,41
Alabama,Montgomery,2014,284,235,49,0,0,0,0,87,40
Alabama,Morgan,2014,283,238,45,0,0,0,0,93,39
Alabama,Russell,2014,284,218,65,1,0,0,0,108,40
Alabama,Shelby,2014,273,226,46,1,0,0,0,119,40
Alabama,Sumter,2014,241,232,9,0,0,0,0,74,34
Alabama,Talladega,2014,108,86,22,0,0,0,0,79,37
Alabama,Tuscaloosa,2014,280,251,29,0,0,0,0,93,36
Alaska,Aleutians East ,2014,105,104,1,0,0,0,0,56,9
Alaska,Anchorage ,2014,360,275,82,2,1,0,0,152,28
Alaska,Denali ,2014,341,333,8,0,0,0,0,80,31
Alaska,Fairbanks North Star ,2014,365,177,107,34,46,1,0,206,52
Alaska,Juneau ,2014,352,285,65,2,0,0,0,129,24
Alaska,Kenai Peninsula ,2014,199,184,13,0,2,0,0,185,9
Alaska,Matanuska-Susitna ,2014,365,281,73,9,1,1,0,231,30
Alaska,Yukon-Koyukuk ,2014,107,107,0,0,0,0,0,25,4
Arizona,Apache,2014,365,364,1,0,0,0,0,67,14
Arizona,Cochise,2014,365,225,135,5,0,0,0,137,47
Arizona,Coconino,2014,357,250,102,5,0,0,0,126,44
Arizona,Gila,2014,365,251,110,4,0,0,0,150,45
Arizona,La Paz,2014,358,264,90,4,0,0,0,136,44
Arizona,Maricopa,2014,365,41,279,42,2,1,0,221,67
Arizona,Mohave,2014,365,356,9,0,0,0,0,77,18
Arizona,Navajo,2014,365,272,91,2,0,0,0,101,44
Arizona,Pima,2014,365,221,141,3,0,0,0,129,48
Arizona,Pinal,2014,365,60,218,55,17,3,12,881,71
Arizona,Santa Cruz,2014,365,267,94,2,2,0,0,199,34
Arizona,Yavapai,2014,280,185,89,6,0,0,0,140,44
Arizona,Yuma,2014,365,221,127,12,3,2,0,284,47
Arkansas,Arkansas,2014,115,91,24,0,0,0,0,91,34
Arkansas,Ashley,2014,118,97,21,0,0,0,0,73,33
Arkansas,Clark,2014,352,342,10,0,0,0,0,90,33
Arkansas,Crittenden,2014,365,317,48,0,0,0,0,93,37
Arkansas,Garland,2014,121,92,29,0,0,0,0,79,35
Arkansas,Jackson,2014,105,75,30,0,0,0,0,83,34
Arkansas,Newton,2014,365,336,29,0,0,0,0,87,36
Arkansas,Polk,2014,360,304,56,0,0,0,0,100,38
Arkansas,Pulaski,2014,365,228,134,3,0,0,0,115,44
Arkansas,Union,2014,121,94,27,0,0,0,0,70,35
Arkansas,Washington,2014,365,316,49,0,0,0,0,86,39
California,Alameda,2014,365,246,109,10,0,0,0,133,43
California,Alpine,2014,50,47,3,0,0,0,0,80,23
California,Amador,2014,359,263,86,10,0,0,0,133,42
California,Butte,2014,365,173,178,12,2,0,0,155,52
California,Calaveras,2014,361,264,93,4,0,0,0,115,44
California,Colusa,2014,365,243,122,0,0,0,0,99,44
California,Contra Costa,2014,365,234,126,5,0,0,0,133,45
California,Del Norte,2014,115,112,3,0,0,0,0,55,12
California,El Dorado,2014,365,223,96,43,3,0,0,161,45
California,Fresno,2014,365,74,167,91,33,0,0,197,81
California,Glenn,2014,365,289,75,1,0,0,0,105,41
California,Humboldt,2014,365,220,139,5,1,0,0,164,43
California,Imperial,2014,365,46,265,45,5,2,2,359,67
California,Inyo,2014,365,233,117,6,5,1,3,911,47
California,Kern,2014,365,32,173,117,42,0,1,307,97
California,Kings,2014,365,85,203,52,25,0,0,172,71
California,Lake,2014,357,335,22,0,0,0,0,93,37
California,Los Angeles,2014,365,24,234,79,26,2,0,205,80
California,Madera,2014,365,95,195,60,15,0,0,179,67
California,Marin,2014,365,261,103,1,0,0,0,107,43
California,Mariposa,2014,365,195,143,26,1,0,0,153,49
California,Mendocino,2014,365,292,73,0,0,0,0,95,38
California,Merced,2014,364,148,158,56,2,0,0,156,60
California,Mono,2014,365,333,20,1,3,2,6,2514,15
California,Monterey,2014,365,337,28,0,0,0,0,100,37
California,Napa,2014,365,214,151,0,0,0,0,88,46
California,Nevada,2014,365,214,117,33,1,0,0,163,46
California,Orange,2014,365,83,261,19,2,0,0,156,59
California,Placer,2014,365,168,169,23,4,1,0,240,52
California,Plumas,2014,127,72,42,10,3,0,0,156,41
California,Riverside,2014,365,19,190,122,32,1,1,537,93
California,Sacramento,2014,365,178,147,40,0,0,0,147,51
California,San Benito,2014,365,299,62,4,0,0,0,115,42
California,San Bernardino,2014,365,39,199,83,43,1,0,201,80
California,San Diego,2014,365,89,237,37,2,0,0,165,61
California,San Francisco,2014,365,309,56,0,0,0,0,97,34
California,San Joaquin,2014,365,159,172,33,1,0,0,152,54
California,San Luis Obispo,2014,365,138,213,14,0,0,0,126,55
California,San Mateo,2014,365,319,46,0,0,0,0,99,34
California,Santa Barbara,2014,365,224,135,4,2,0,0,159,47
California,Santa Clara,2014,365,268,89,7,1,0,0,154,41
California,Santa Cruz,2014,365,301,52,12,0,0,0,136,35
California,Shasta,2014,365,277,82,6,0,0,0,126,43
California,Siskiyou,2014,363,332,29,0,2,0,0,159,37
California,Solano,2014,365,254,108,3,0,0,0,124,43
California,Sonoma,2014,365,314,51,0,0,0,0,81,37
California,Stanislaus,2014,365,142,164,53,6,0,0,164,58
California,Sutter,2014,365,182,170,12,1,0,0,156,51
California,Tehama,2014,364,235,113,15,1,0,0,151,44
California,Trinity,2014,112,105,7,0,0,0,0,88,9
California,Tulare,2014,365,70,171,97,27,0,0,169,84
California,Tuolumne,2014,334,214,104,16,0,0,0,133,46
California,Ventura,2014,365,157,193,15,0,0,0,150,53
California,Yolo,2014,365,288,76,1,0,0,0,101,41
Colorado,Adams,2014,365,238,122,5,0,0,0,124,46
Colorado,Alamosa,2014,365,346,17,2,0,0,0,124,19
Colorado,Arapahoe,2014,364,269,94,1,0,0,0,122,44
Colorado,Archuleta,2014,336,335,1,0,0,0,0,51,17
Colorado,Boulder,2014,360,261,94,5,0,0,0,126,44
Colorado,Chaffee,2014,150,103,47,0,0,0,0,100,47
Colorado,Clear Creek,2014,267,169,83,15,0,0,0,150,47
Colorado,Delta,2014,118,117,1,0,0,0,0,77,21
Colorado,Denver,2014,365,195,167,2,1,0,0,152,50
Colorado,Douglas,2014,363,244,110,9,0,0,0,124,44
Colorado,El Paso,2014,365,277,88,0,0,0,0,90,44
Colorado,Fremont,2014,59,58,1,0,0,0,0,51,15
Colorado,Garfield,2014,365,303,60,2,0,0,0,108,44
Colorado,Gunnison,2014,365,307,58,0,0,0,0,90,44
Colorado,Jackson,2014,363,341,22,0,0,0,0,77,40
Colorado,Jefferson,2014,365,228,121,16,0,0,0,140,46
Colorado,La Plata,2014,365,280,84,1,0,0,0,101,44
Colorado,Larimer,2014,365,202,146,17,0,0,0,140,49
Colorado,Mesa,2014,365,251,113,1,0,0,0,101,46
Colorado,Moffat,2014,270,236,34,0,0,0,0,90,43
Colorado,Montezuma,2014,365,286,79,0,0,0,0,93,44
Colorado,Park,2014,338,232,104,2,0,0,0,115,47
Colorado,Pitkin,2014,115,115,0,0,0,0,0,35,11
Colorado,Prowers,2014,358,330,19,2,6,1,0,247,19
Colorado,Pueblo,2014,124,119,4,1,0,0,0,110,23
Colorado,Rio Blanco,2014,365,316,49,0,0,0,0,87,44
Colorado,Routt,2014,346,334,12,0,0,0,0,65,15
Colorado,San Juan,2014,118,118,0,0,0,0,0,28,8
Colorado,San Miguel,2014,274,205,69,0,0,0,0,93,45
Colorado,Weld,2014,365,248,113,4,0,0,0,126,45
Connecticut,Fairfield,2014,365,212,139,12,2,0,0,164,48
Connecticut,Hartford,2014,365,245,110,10,0,0,0,143,44
Connecticut,Litchfield,2014,365,294,69,2,0,0,0,129,41
Connecticut,Middlesex,2014,182,140,31,10,1,0,0,151,43
Connecticut,New Haven,2014,365,243,114,8,0,0,0,126,44
Connecticut,New London,2014,355,281,73,1,0,0,0,104,40
Connecticut,Tolland,2014,178,141,28,9,0,0,0,140,41
Connecticut,Windham,2014,354,328,25,1,0,0,0,101,34
Country Of Mexico,BAJA CALIFORNIA NORTE,2014,51,11,27,8,5,0,0,187,65
Country Of Mexico,CHIHUAHUA STATE,2014,214,210,4,0,0,0,0,65,31
Delaware,Kent,2014,364,295,68,1,0,0,0,108,42
Delaware,New Castle,2014,365,205,149,10,1,0,0,152,49
Delaware,Sussex,2014,365,261,103,1,0,0,0,105,43
District Of Columbia,District of Columbia,2014,365,225,136,4,0,0,0,140,47
Florida,Alachua,2014,361,329,32,0,0,0,0,77,35
Florida,Baker,2014,362,347,15,0,0,0,0,74,33
Florida,Bay,2014,365,294,71,0,0,0,0,100,40
Florida,Brevard,2014,365,312,53,0,0,0,0,87,39
Florida,Broward,2014,365,315,48,2,0,0,0,115,38
Florida,Citrus,2014,120,113,7,0,0,0,0,80,26
Florida,Collier,2014,365,324,41,0,0,0,0,77,36
Florida,Columbia,2014,338,301,37,0,0,0,0,80,34
Florida,Duval,2014,365,268,93,4,0,0,0,126,43
Florida,Escambia,2014,365,273,88,4,0,0,0,126,42
Florida,Flagler,2014,360,335,25,0,0,0,0,90,35
Florida,Hamilton,2014,271,214,57,0,0,0,0,72,38
Florida,Highlands,2014,350,327,23,0,0,0,0,77,32
Florida,Hillsborough,2014,365,250,109,6,0,0,0,115,44
Florida,Holmes,2014,365,294,71,0,0,0,0,100,39
Florida,Indian River,2014,349,315,33,1,0,0,0,105,37
Florida,Lake,2014,362,331,29,2,0,0,0,108,33
Florida,Lee,2014,365,306,59,0,0,0,0,93,38
Florida,Leon,2014,365,250,114,0,1,0,0,157,43
Florida,Liberty,2014,351,343,8,0,0,0,0,61,32
Florida,Manatee,2014,365,333,31,1,0,0,0,101,36
Florida,Marion,2014,365,307,58,0,0,0,0,97,39
Florida,Martin,2014,363,329,33,1,0,0,0,101,37
Florida,Miami-Dade,2014,365,272,92,1,0,0,0,123,43
Florida,Nassau,2014,266,211,55,0,0,0,0,70,36
Florida,Okaloosa,2014,364,336,27,1,0,0,0,115,35
Florida,Orange,2014,362,300,61,1,0,0,0,126,39
Florida,Osceola,2014,348,316,32,0,0,0,0,100,33
Florida,Palm Beach,2014,365,308,55,2,0,0,0,119,38
Florida,Pasco,2014,365,331,33,1,0,0,0,108,35
Florida,Pinellas,2014,365,287,77,1,0,0,0,112,40
Florida,Polk,2014,364,288,76,0,0,0,0,87,40
Florida,Putnam,2014,292,292,0,0,0,0,0,35,14
Florida,Santa Rosa,2014,365,288,74,3,0,0,0,136,40
Florida,Sarasota,2014,365,278,86,1,0,0,0,105,40
Florida,Seminole,2014,364,334,30,0,0,0,0,97,35
Florida,St. Lucie,2014,360,343,16,1,0,0,0,122,34
Florida,Volusia,2014,365,317,47,1,0,0,0,108,39
Florida,Wakulla,2014,319,287,31,0,1,0,0,152,35
Georgia,Bibb,2014,365,211,152,2,0,0,0,112,47
Georgia,Charlton,2014,116,107,9,0,0,0,0,96,25
Georgia,Chatham,2014,333,246,87,0,0,0,0,77,42
Georgia,Chattooga,2014,245,227,18,0,0,0,0,77,36
Georgia,Clarke,2014,356,239,117,0,0,0,0,92,42
Georgia,Clayton,2014,122,88,34,0,0,0,0,83,43
Georgia,Cobb,2014,307,224,81,2,0,0,0,119,41
Georgia,Coffee,2014,61,55,6,0,0,0,0,66,35
Georgia,Columbia,2014,240,214,26,0,0,0,0,80,40
Georgia,Coweta,2014,357,285,69,3,0,0,0,108,38
Georgia,Dawson,2014,245,218,26,1,0,0,0,101,37
Georgia,DeKalb,2014,365,182,180,3,0,0,0,122,51
Georgia,Dougherty,2014,359,216,142,1,0,0,0,111,45
Georgia,Douglas,2014,238,194,42,2,0,0,0,126,41
Georgia,Floyd,2014,362,133,228,1,0,0,0,109,54
Georgia,Fulton,2014,364,248,109,7,0,0,0,140,44
Georgia,Glynn,2014,332,287,45,0,0,0,0,88,37
Georgia,Gwinnett,2014,365,270,93,2,0,0,0,105,41
Georgia,Hall,2014,318,177,141,0,0,0,0,95,47
Georgia,Henry,2014,351,251,94,5,1,0,0,159,40
Georgia,Houston,2014,348,202,143,3,0,0,0,129,46
Georgia,Lowndes,2014,339,245,94,0,0,0,0,88,38
Georgia,Murray,2014,266,232,33,1,0,0,0,108,38
Georgia,Muscogee,2014,365,258,106,1,0,0,0,102,41
Georgia,Paulding,2014,364,228,136,0,0,0,0,95,45
Georgia,Pike,2014,359,313,45,1,0,0,0,108,37
Georgia,Richmond,2014,361,235,126,0,0,0,0,92,43
Georgia,Rockdale,2014,363,309,47,7,0,0,0,150,34
Georgia,Sumter,2014,244,229,15,0,0,0,0,77,38
